Elapsed Time,Absolute x coordinate,Absolute y coordinate,eyeGazePdfUpperRect.x,eyeGazePdfUpperRect.y,eyeGazePdfUpperRect.height,eyeGazePdfUpperRect.width,eyeGazePdfLowerRect.x,eyeGazePdfLowerRect.y,eyeGazePdfLowerRect.height,eyeGazePdfLowerRect.width,upper page number,lower page number
246771.17500000168,758,357,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
246811.27500001458,758,357,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
246847.00500001782,758,357,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
246891.34500001092,1319,719,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
246929.90000001737,1394,441,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
246968.28500000993,1394,441,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247009.7700000042,1221,404,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247049.47500000708,1221,404,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247091.06500001508,1181,215,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247130.5150000262,1455,702,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247168.2050000236,1313,527,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247206.4900000114,1332,615,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247246.90000002738,1332,615,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247291.3300000073,1169,687,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247329.53500002623,1169,687,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247370.96500000916,1169,687,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
247409.73500002292,1159,807,420.3999938964844,0,260.70001220703125,695.2000122070312,420.3999938964844,434.5,260.70001220703125,695.2000122070312,1,2
